SAL_NAME21,district_label,member,party,pct_area
Blackburn South,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,87.59
Blackburn South,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,12.41
Blackwood (Vic.),Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,95.92
Blackwood (Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,4.08
Blairgowrie,Nepean District,"GROTH, Sam",Liberal,98.63
Blampied,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,90.64
Blampied,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,9.36
Blind Bight,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,98.84
Boronia,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,96.4
Boronia,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,3.58
